timestamp,day_of_week,hour,direction,duration_seconds,duration_in_traffic_seconds,distance_meters
2026-04-06T15:25:56.831378-03:00,lunes,15:25,ida,2621,2813,48820
2026-04-06T15:25:58.416033-03:00,lunes,15:25,vuelta,2964,3544,49136
2026-04-06T15:47:06.473105-03:00,lunes,15:47,ida,2621,2661,48820
2026-04-06T15:47:08.417225-03:00,lunes,15:47,vuelta,2781,3655,48900
2026-04-06T15:57:10.278272-03:00,lunes,15:57,ida,2621,2634,48820
2026-04-06T15:57:12.164157-03:00,lunes,15:57,vuelta,2781,3412,48900
2026-04-06T16:07:14.100073-03:00,lunes,16:07,ida,2621,2659,48820
2026-04-06T16:07:15.958078-03:00,lunes,16:07,vuelta,2802,3329,48877
2026-04-06T16:17:17.878381-03:00,lunes,16:17,ida,2621,2747,48820
2026-04-06T16:17:19.632545-03:00,lunes,16:17,vuelta,2763,3458,48861
2026-04-06T16:27:21.551808-03:00,lunes,16:27,ida,2621,2831,48820
2026-04-06T16:27:23.396441-03:00,lunes,16:27,vuelta,2763,3608,48861
2026-04-06T16:37:25.262098-03:00,lunes,16:37,ida,2621,2862,48820
2026-04-06T16:37:27.032907-03:00,lunes,16:37,vuelta,2763,3688,48861
2026-04-06T16:47:28.976438-03:00,lunes,16:47,ida,2621,2892,48820
2026-04-06T16:47:30.845258-03:00,lunes,16:47,vuelta,2802,3892,48877
2026-04-06T19:55:25.729066-03:00,lunes,19:55,ida,2621,2723,48820
2026-04-06T19:55:27.476354-03:00,lunes,19:55,vuelta,2763,2961,48861
2026-04-07T08:48:42.144918-03:00,martes,08:48,ida,3923,6633,54299
2026-04-07T08:48:43.644919-03:00,martes,08:48,vuelta,2977,3495,49269
2026-04-07T09:13:44.410858-03:00,martes,09:13,ida,3076,6075,49437
2026-04-07T09:13:45.718809-03:00,martes,09:13,vuelta,3063,3293,49450
2026-04-07T09:23:47.462840-03:00,martes,09:23,ida,2621,5768,48820
2026-04-07T09:23:49.351853-03:00,martes,09:23,vuelta,2763,3109,48861
2026-04-07T09:33:51.250336-03:00,martes,09:33,ida,2839,5143,48857
2026-04-07T09:33:53.000161-03:00,martes,09:33,vuelta,2781,3014,48900
2026-04-07T09:43:54.878493-03:00,martes,09:43,ida,2923,4809,49046
2026-04-07T09:43:56.732304-03:00,martes,09:43,vuelta,2781,2918,48853
2026-04-07T09:53:58.633480-03:00,martes,09:53,ida,2916,4275,49028
